country,Dim1,2019_LEx
South Korea,Female,86.09
South Korea,Male,80.32
South Sudan,Both sexes,62.79
South Sudan,Female,64.84
South Sudan,Male,60.83
Spain,Both sexes,83.22
Spain,Female,85.68
Spain,Male,80.68
Sri Lanka,Both sexes,76.87
Sri Lanka,Female,79.81
Sri Lanka,Male,73.8
Sudan,Both sexes,69.15
Sudan,Female,70.76
Sudan,Male,67.55
Suriname,Both sexes,71.48
Suriname,Female,74.63
Suriname,Male,68.5
Sweden,Both sexes,82.4
Sweden,Female,83.97
Sweden,Male,80.83
Switzerland,Both sexes,83.45
Switzerland,Female,85.08
Switzerland,Male,81.75
Syrian Arab Republic,Both sexes,72.67
Syrian Arab Republic,Female,74.26
Syrian Arab Republic,Male,71.18
Tajikistan,Both sexes,69.5
Tajikistan,Female,71.55
Tajikistan,Male,67.58
Tanzania,Both sexes,67.34
Tanzania,Female,69.26
Tanzania,Male,65.37
Thailand,Both sexes,77.7
Thailand,Female,81.04
Thailand,Male,74.36
Timor-Leste,Both sexes,69.62
Timor-Leste,Female,71.41
Timor-Leste,Male,67.93
Togo,Both sexes,64.27
Togo,Female,67.23
Togo,Male,61.52
Tonga,Both sexes,72.57
Tonga,Female,75.61
Tonga,Male,69.81
Trinidad and Tobago,Both sexes,76.13
Trinidad and Tobago,Female,79.92
Trinidad and Tobago,Male,72.54
Tunisia,Both sexes,77.04
Tunisia,Female,79.19
Tunisia,Male,74.88
Türkiye,Both sexes,78.62
Türkiye,Female,80.67
Türkiye,Male,76.44
Turkmenistan,Both sexes,69.75
Turkmenistan,Female,72.97
Turkmenistan,Male,66.48
Uganda,Both sexes,66.69
Uganda,Female,70.1
Uganda,Male,63.24
Ukraine,Both sexes,73.02
Ukraine,Female,77.81
Ukraine,Male,68
United Arab Emirates,Both sexes,76.08
United Arab Emirates,Female,78.42
United Arab Emirates,Male,75.1
United Kingdom,Both sexes,81.4
United Kingdom,Female,82.99
United Kingdom,Male,79.79
United States of America,Both sexes,78.5
United States of America,Female,80.73
United States of America,Male,76.28
Uruguay,Both sexes,77.1
Uruguay,Female,80.56
Uruguay,Male,73.48
Uzbekistan,Both sexes,73.01
Uzbekistan,Female,75.21
Uzbekistan,Male,70.76
Vanuatu,Both sexes,65.31
Vanuatu,Female,68.32
Vanuatu,Male,62.66
Venezuela,Both sexes,73.95
Venezuela,Female,78.17
Venezuela,Male,69.91
Vietnam,Both sexes,73.74
Vietnam,Female,78.11
Vietnam,Male,69.56
Yemen,Both sexes,66.63
Yemen,Female,68.92
Yemen,Male,64.41
Zambia,Both sexes,62.45
Zambia,Female,65.37
Zambia,Male,59.54
Zimbabwe,Both sexes,60.68
Zimbabwe,Female,63.61
Zimbabwe,Male,57.51
