Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Botswana,BWA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,33.2,32.26,31.32,30.38,29.44,28.5,27.76,27.02,26.28,25.54,24.8,24.18,23.56,22.94,22.32,21.7,21.06666667,20.43333333,19.8,19.8
Brazil,BRA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.78,8.688,8.596,8.504,8.412,8.32,8.354,8.388,8.422,8.456,8.49,8.364,8.238,8.112,7.986,7.86,7.713333333,7.566666667,7.42,..
Brazil,BRA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,23.8,23.12,22.44,21.76,21.08,20.4,19.8,19.2,18.6,18,17.4,16.9,16.4,15.9,15.4,14.9,14.33333333,13.76666667,13.2,13.2
Brunei Darussalam,BRN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.23,0.226,0.222,0.218,0.214,0.21,0.27,0.33,0.39,0.45,0.51,0.5,0.49,0.48,0.47,0.46,0.466666667,0.473333333,0.48,..
Brunei Darussalam,BRN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,16.7,16.66,16.62,16.58,16.54,16.5,16.48,16.46,16.44,16.42,16.4,16.38,16.36,16.34,16.32,16.3,16.26666667,16.23333333,16.2,16.2
Bulgaria,BGR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,11.8,11.724,11.648,11.572,11.496,11.42,11.4,11.38,11.36,11.34,11.32,11.524,11.728,11.932,12.136,12.34,12.44333333,12.54666667,12.65,..
Bulgaria,BGR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,47.5,47,46.5,46,45.5,45,44.58,44.16,43.74,43.32,42.9,42.46,42.02,41.58,41.14,40.7,40.26666667,39.83333333,39.4,39.4
Burkina Faso,BFA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,8.4,8.558,8.716,8.874,9.032,9.19,9.068,8.946,8.824,8.702,8.58,9.23,9.88,10.53,11.18,11.83,11.89666667,11.96333333,12.03,..
Burkina Faso,BFA,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,29.8,28.78,27.76,26.74,25.72,24.7,23.86,23.02,22.18,21.34,20.5,19.8,19.1,18.4,17.7,17,16.3,15.6,14.9,14.9
Burundi,BDI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,9.82,9.544,9.268,8.992,8.716,8.44,8.284,8.128,7.972,7.816,7.66,7.534,7.408,7.282,7.156,7.03,7.083333333,7.136666667,7.19,..
Burundi,BDI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,24,23.16,22.32,21.48,20.64,19.8,19.16,18.52,17.88,17.24,16.6,16.06,15.52,14.98,14.44,13.9,13.33333333,12.76666667,12.2,12.2
Cabo Verde,CPV,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.03,6.214,6.398,6.582,6.766,6.95,7.062,7.174,7.286,7.398,7.51,7.198,6.886,6.574,6.262,5.95,5.833333333,5.716666667,5.6,..
Cabo Verde,CPV,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,20.6,20.04,19.48,18.92,18.36,17.8,17.28,16.76,16.24,15.72,15.2,14.78,14.36,13.94,13.52,13.1,12.63333333,12.16666667,11.7,11.7
Cambodia,KHM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,1.87,2.034,2.198,2.362,2.526,2.69,3.134,3.578,4.022,4.466,4.91,5.202,5.494,5.786,6.078,6.37,6.46,6.55,6.64,..
Cambodia,KHM,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,42.3,41.04,39.78,38.52,37.26,36,34.82,33.64,32.46,31.28,30.1,29.12,28.14,27.16,26.18,25.2,24.1,23,21.9,21.9
Cameroon,CMR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,6.69,6.876,7.062,7.248,7.434,7.62,7.782,7.944,8.106,8.268,8.43,7.978,7.526,7.074,6.622,6.17,5.996666667,5.823333333,5.65,..
Cameroon,CMR,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,12.8,12.48,12.16,11.84,11.52,11.2,10.9,10.6,10.3,10,9.7,9.44,9.18,8.92,8.66,8.4,8.1,7.8,7.5,7.5
Canada,CAN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,10.1,9.856,9.612,9.368,9.124,8.88,8.9,8.92,8.94,..
Canada,CAN,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,28.4,27.38,26.36,25.34,24.32,23.3,22.5,21.7,20.9,20.1,19.3,18.6,17.9,17.2,16.5,15.8,15.06666667,14.33333333,13.6,13.6
Central African Republic,CAF,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.68,3.668,3.656,3.644,3.632,3.62,3.692,3.764,3.836,3.908,3.98,3.67,3.36,3.05,2.74,2.43,2.413333333,2.396666667,2.38,..
Central African Republic,CAF,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Chad,TCD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,4.34,4.396,4.452,4.508,4.564,4.62,5.012,5.404,5.796,6.188,6.58,5.554,4.528,3.502,2.476,1.45,1.423333333,1.396666667,1.37,..
Chad,TCD,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,13.9,13.56,13.22,12.88,12.54,12.2,11.9,11.6,11.3,11,10.7,10.44,10.18,9.92,9.66,9.4,9.1,8.8,8.5,8.5
Channel Islands,CHI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Channel Islands,CHI,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Chile,CHL,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,7.74,7.978,8.216,8.454,8.692,8.93,9.006,9.082,9.158,9.234,9.31,9.3,9.29,9.28,9.27,9.26,9.196666667,9.133333333,9.07,..
Chile,CHL,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,46.9,45.86,44.82,43.78,42.74,41.7,40.78,39.86,38.94,38.02,37.1,36.26,35.42,34.58,33.74,32.9,31.9,30.9,29.9,29.9
China,CHN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,3.81,3.852,3.894,3.936,3.978,4.02,4.63,5.24,5.85,6.46,7.07,7.086,7.102,7.118,7.134,7.15,7.116666667,7.083333333,7.05,..
