Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Côte d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.64,49.5,49.48,49.57,49.79,50.12,50.56,51.09,51.68,52.31,52.96,53.62,54.27,54.91,55.51,56.07,56.57,57.02,57.42,57.78
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.81,74.51,74.72,74.61,75.52,75.24,75.84,75.71,75.91,76.17,76.48,76.78,76.92,77.13,77.48,77.28,78.02,77.83,78.07,78.42
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.7,76.91,77.11,77.3,77.5,77.69,77.86,78.02,78.15,78.26,78.34,78.4,78.45,78.49,78.52,78.56,78.61,78.66,78.73,78.8
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.01,78.14,78.26,78.39,78.51,78.63,78.76,78.91,79.07,79.25,79.43,79.62,79.81,80,80.18,80.35,80.51,80.67,80.83,80.98
Czechia,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.97,75.17,75.22,75.17,75.72,75.92,76.52,76.72,76.98,77.08,77.42,77.87,78.08,78.18,78.82,78.58,79.03,78.98,79.03,79.23
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.59,76.79,76.9,77.14,77.49,77.84,78.1,78.2,78.45,78.6,79.1,79.8,80.05,80.3,80.7,80.7,80.85,81.1,80.95,81.45
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.02,57.1,57.24,57.43,57.68,57.99,58.34,58.72,59.12,59.56,60.06,60.67,61.4,62.24,63.17,64.14,65.06,65.89,66.58,67.11
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.43,69.69,69.96,70.23,70.5,70.77,71.04,71.3,71.56,71.81,72.05,72.28,72.52,72.76,73,73.24,73.47,73.69,73.89,74.08
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.76,73.08,73.37,73.64,73.89,74.11,74.32,74.51,74.71,74.9,75.09,75.29,75.5,75.71,75.92,76.14,76.37,76.58,76.8,77.01
Egypt,EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.6,68.8,68.96,69.12,69.27,69.43,69.61,69.79,69.97,70.16,70.35,70.54,70.74,70.93,71.12,71.3,71.48,71.66,71.83,71.99
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.88,69.16,69.43,69.68,69.91,70.12,70.33,70.54,70.76,70.98,71.21,71.45,71.69,71.94,72.18,72.41,72.64,72.87,73.1,73.32
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.28,53.58,53.84,54.06,54.26,54.45,54.64,54.84,55.07,55.33,55.62,55.95,56.29,56.64,57,57.36,57.71,58.06,58.4,58.74
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.27,55.86,56.5,57.19,57.93,58.71,59.49,60.24,60.95,61.6,62.19,62.73,63.24,63.73,64.2,64.66,65.11,65.54,65.94,66.32
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.42,70.26,70.9,71.32,71.91,72.57,72.69,72.81,73.77,74.82,75.43,76.23,76.33,77.14,77.03,77.59,77.64,78.09,78.24,78.65
Eswatini,SWZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.49,45.8,44.41,43.37,42.73,42.52,42.73,43.31,44.17,45.28,46.6,48.14,49.86,51.7,53.57,55.36,56.96,58.32,59.4,60.19
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.94,52.6,53.35,54.21,55.17,56.22,57.33,58.47,59.58,60.65,61.63,62.51,63.28,63.96,64.55,65.05,65.48,65.87,66.24,66.6
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.69,65.86,66.02,66.15,66.25,66.31,66.36,66.41,66.48,66.56,66.66,66.76,66.86,66.95,67.03,67.1,67.18,67.25,67.34,67.44
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.47,77.97,78.12,78.37,78.71,78.82,79.21,79.26,79.57,79.72,79.87,80.47,80.63,80.98,81.18,81.48,81.43,81.63,81.73,81.98
