Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913.5,4817580183.6,5081413339.79,5319458351.16,5386054619.35,5906636557,6439687598.32,7253575399.32,7483685473.51,8471006100.95,8992721809.39,8751842839.8,6288245866.67,8086725729.34,12512460519.71,19448348073.46,10117113333.33,9651149301.87,13281767142.86,15565480321.94,18138049095.61,20249694002.45,18525399201.6,17609048821.55,18920840000,22278423076.92,21774033333.33,24298032258.06,26579005760.26,28781714763.89,31598341233.46,30957483949.58,31708874594.16,33166519417.99,33768660882.79,37939748768.66,46438484107.58,48244309133.49,49984559471.37,51270569883.53,53369787318.62,53991289844.33,54724081490.51,60158929188.26,65108544250.04,69442943089.43,71819083683.74,79611888213.15,91631278239.32,102477791472.39,115279077465.23,128637938711.39,133355749482.48,149990451022.29,172885454931.45,195078678697.23,265236247989.16,293754646182.39,321379023557.46,351238438542.79,373902134700.41,416264942893.33
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.23,19870000000,19342000000,16563666666.67,17594944444.44,17155421052.63,20249294117.65,28101000000,22555941176.47,21988444444.44,20632090909.09,10943548387.1,10350515463.92,10829710144.93,9697416974.17,18983303571.43,12294221472.74,11315986087.16,15030695296.52,13627323284.54,13245833843.55,14183497963.11,16402846413.1,21144983551.68,26157894736.84,29869283400.04,34379808888.6,44405101469.56,54438966419.86,52023504656.29,50682061053.2,57678241023.82,54300857424.44,55810138436.48,57082011260.34,50781996712.76,53953897624.43,59199447421.49,66363422450.21,68915416141.96,69889347433.43,80271119426.11
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328.47,3467819148.94,3645744680.85,3735106382.98,3905585106.38,3651861702.13,3052393617.02,3392021010.64,3702393617.02,3863563829.79,4229787234.04,4616223404.26,4751063829.79,5200265957.45,5567553457.45,5849467819.15,6101861436.17,6349202393.62,6183776595.74,6621010372.34,9062898936.17,8976196808.51,9593510638.3,11074813829.79,13150159574.47,15968723404.26,18504760638.3,21730000000,25710904255.32,22938218085.11,25713271276.6,28776595744.68,30749308510.64,32539468085.11,33387712765.96,31050638297.87,32234973404.26,35473776595.74,37802005319.15,38653318085.11,34723357446.81,38868663031.91
Bahamas,BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.57,190098039.22,212254901.96,237745098.04,266666666.67,300392156.86,340000000,390196078.43,444901960.78,528137254.9,538423153.69,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10562800000,11176100000,11861900000,11834600000,12357600000,12755800000,13192800000,9699500000,11208600000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469.14,1866572953.74,2786045321.64,3671816504.24,4116699437.4,4685733115.47,5567405605.28,5800774707.17,6728771318.58,8498560877.09,10157553968.25,11222953328.67,12864610865.24,15778767389.78,19112739364.89,17613836494.07,17176781065.89,18644723860.97,17221192487.03,18172335776.33,18560861397.56,16219819343.52,16914287593.29,18079076426.87,20177422311.08,20201323282.55,19955120004.66,22571512867.28
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000,18000000000,17037037037.04,16280991735.54,14932024169.18,13972676840.92,14756846153.85,14128408565.71,15222012660.42,12138486532.02,12736856827.98,12354820143.88,14594249022.89,17827791321.31,23144351851.85,30207567316.62,36954312354.31,45277399813.61,60763483146.07,50874078052.27,57222490768.71,61757788944.72,65685102554.88,75527984234.23,78813839984.35,56454734396.58,47722657820.67,54726595249.18,60031262269.34,64409647193.8,61489588894.82,68218816484.12
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500,78343558.28,103216374.27,118066298.34,96905829.6,117650000,136300000,151800000,197938222.43,196089854.66,182206326.99,192103185.96,214381949.02,212643742.67,231638320.54,281082558.59,320093360.27,369133890.71,412086445.49,444720750,518559700,560205300,581269550,620422500,641660000,654582900,689140000,732732350,832072450,871590369.33,932292858.89,990727709.55,1057653620.03,1111453823.62,1211148304.51,1283112550,1352588867.73,1320605471.63,1387925188.49,1466822039.41,1531348953.18,1581844936.42,1676406801.54,1734320479.14,1796928936.72,1844906692.54,1887465218.48,1945250235.58,1585631670.35,1789923264.03
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08,89249986.7,94149985.97,96366652.3,107566650.63,114339048.97,134173373.79,155102984.63,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6881662000,7080900000
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373879363.6,406684585.72,444665186.4,478805990.08,539491477.32,604377104.38,669191919.19,755808080.81,857912457.91,929629629.63,1017003367,1095622895.62,1257615644.98,1262968515.74,2100249875.06,2404697651.17,2731984008,3227436281.86,3758220889.56,4421343606.18,4537487802.5,5891606684.89,5594118407.03,5422656265.84,6169481549.36,5377276656.9,3959379399.63,4347956337.83,4597615622.48,4715978693.56,4867582597.52,5343274395.35,5643893347.01,5734676631.26,5981244865.27,6715220486.22,7396966618.06,7925673467.45,8497545543.64,8285075837.86,8397912525.27,8141537877.07,7905485146.44,8082364816.17,8773451751.51,9549077918.7,11451869202.16,13120183207.66,16674324661.87,17339992193.73,19649631308.16,23963033429.44,27084497481.91,30659338885.67,32996188017.37,33000198248.91,33941126193.92,37508642170.77,40287647930.54,40895322850.94,36629843806.08,40408208523.88
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,17030465539.39,17275940449.38,19231747851.53,23287712878.2,20963733694.97,22465522884.1,28283323733.11,31086389194.96,33930457425.26,37171640818.59,42327664793.69,48869830901.79,58434858374.87,83592275863,109794519727.54,129203555238.83,153168949208.21,176344101401.94,200278646123.58,221338204480.22,237393489892.64,258015174748.65,271314113768.42,189656506321.43,188339974086.58,176123719326.59,215878631802.78,237517984427.81,258816125587.51,347028139590.23,390725626002.87,342609227209.65,328187944300.91,368295777770.08,525369851353.74,769333330368.99,850426433004.08,883206452795.12,863711007325.49,599642075004.47,655448188259.35,559983704094.17,509795270685.19,558233724164.71,669289321944.52,891633826603.38,1107626711406.63,1397114247331.17,1695855391810.9,1666996294372.87,2208838108577.09,2616156606666.62,2465228293894.01,2472819362216.69,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1873288158977.23,1448565936739.56,1608981220812.2
